Project_Type,Hours_Estimated,Team_Size,Company_Size,Experience_Required,Project_Cost
UI/UX Design,371,4,Enterprise,Senior,33099.76
SEO,261,1,Mid-Market,Senior,17838.09
Data Science,343,4,Mid-Market,Mid-Level,22292.33
SEO,238,4,Enterprise,Senior,20733.87
SEO,211,4,Mid-Market,Junior,5482.19
Mobile App,36,1,Enterprise,Mid-Level,3062.24
Data Science,31,4,Mid-Market,Mid-Level,4089.85
Data Science,425,1,Startup,Senior,41814.08
Data Science,420,4,Startup,Mid-Level,23839.71
SEO,413,5,Mid-Market,Senior,24692.96
UI/UX Design,393,4,Enterprise,Junior,10831.26
Data Science,212,2,Startup,Senior,22306.0
SEO,41,4,Enterprise,Mid-Level,3892.52
Mobile App,493,3,Mid-Market,Junior,13795.21
UI/UX Design,139,4,Enterprise,Senior,14246.97
Mobile App,229,2,Startup,Junior,5833.99
UI/UX Design,325,2,Enterprise,Junior,6660.92
SEO,289,1,Enterprise,Mid-Level,14216.5
Web Development,211,5,Mid-Market,Junior,7289.23
UI/UX Design,194,4,Mid-Market,Mid-Level,11033.74
Mobile App,304,1,Mid-Market,Junior,7626.86
SEO,223,5,Startup,Senior,12403.4
UI/UX Design,183,4,Startup,Junior,4995.29
Web Development,270,3,Mid-Market,Senior,22987.97
Web Development,246,4,Mid-Market,Senior,21367.15
Data Science,455,2,Startup,Junior,10945.0
Data Science,400,2,Startup,Senior,34600.43
Mobile App,479,3,Startup,Junior,11215.37
UI/UX Design,26,1,Startup,Junior,899.48
UI/UX Design,48,5,Mid-Market,Senior,6025.65
Data Science,414,4,Startup,Senior,38707.38
UI/UX Design,52,2,Mid-Market,Mid-Level,2881.71
UI/UX Design,153,1,Enterprise,Senior,12769.71
Web Development,386,3,Enterprise,Mid-Level,22815.23
Data Science,98,2,Startup,Senior,9461.69
SEO,435,3,Enterprise,Junior,9001.42
Data Science,454,4,Enterprise,Senior,77437.09
SEO,478,5,Enterprise,Junior,11130.93
Web Development,77,2,Startup,Junior,2353.22
Mobile App,490,2,Startup,Junior,10778.74
UI/UX Design,45,4,Enterprise,Mid-Level,4438.99
Web Development,449,1,Mid-Market,Senior,42401.79
UI/UX Design,245,5,Enterprise,Junior,7495.85
Mobile App,304,2,Startup,Junior,7346.8
Mobile App,23,5,Startup,Mid-Level,3464.03
Web Development,484,2,Startup,Senior,39940.15
Mobile App,118,5,Enterprise,Senior,16665.63
SEO,416,3,Mid-Market,Mid-Level,15663.84
Mobile App,58,2,Startup,Mid-Level,3612.22
UI/UX Design,290,5,Startup,Senior,18855.04
UI/UX Design,394,1,Enterprise,Mid-Level,19670.74
UI/UX Design,304,3,Mid-Market,Senior,21264.26
UI/UX Design,176,3,Enterprise,Senior,20375.79
SEO,94,1,Startup,Junior,1563.21
Data Science,391,5,Mid-Market,Junior,14491.68
Web Development,307,4,Mid-Market,Senior,29153.99
UI/UX Design,149,1,Startup,Senior,10030.32
Mobile App,194,5,Mid-Market,Senior,20003.48
UI/UX Design,481,1,Mid-Market,Senior,34417.94
Mobile App,103,1,Enterprise,Senior,12839.98
Mobile App,41,2,Startup,Senior,3665.45
UI/UX Design,478,5,Startup,Mid-Level,18819.66
SEO,46,4,Startup,Senior,4364.27
Mobile App,214,2,Startup,Mid-Level,11576.59
Mobile App,356,1,Startup,Mid-Level,14613.18
UI/UX Design,401,1,Mid-Market,Senior,32515.28
Mobile App,255,1,Enterprise,Senior,36013.15
Mobile App,459,5,Startup,Mid-Level,22422.14
UI/UX Design,111,5,Enterprise,Mid-Level,7075.47
UI/UX Design,496,2,Enterprise,Senior,45045.97
Web Development,40,4,Mid-Market,Senior,5771.48
SEO,322,2,Startup,Mid-Level,10549.08
SEO,483,3,Mid-Market,Mid-Level,20093.68
Mobile App,376,1,Startup,Mid-Level,16598.36
SEO,462,1,Mid-Market,Junior,7726.83
Mobile App,103,1,Enterprise,Mid-Level,6380.4
Web Development,281,2,Startup,Junior,5853.31
UI/UX Design,166,2,Enterprise,Senior,18215.17
UI/UX Design,460,1,Enterprise,Senior,39461.97
UI/UX Design,472,2,Mid-Market,Mid-Level,19774.1
SEO,406,5,Startup,Senior,22635.02
Web Development,276,5,Enterprise,Senior,32410.01
SEO,77,2,Mid-Market,Senior,5659.74
SEO,399,1,Startup,Senior,22831.42
Web Development,441,2,Startup,Junior,8106.33
Web Development,34,2,Enterprise,Junior,1658.63
Web Development,181,2,Startup,Mid-Level,7804.48
Web Development,464,3,Enterprise,Mid-Level,31348.5
UI/UX Design,182,5,Startup,Mid-Level,7717.45
Data Science,339,4,Mid-Market,Senior,44342.7
Data Science,300,4,Enterprise,Senior,57364.21
Web Development,299,3,Enterprise,Junior,9361.12
Data Science,31,2,Startup,Junior,1828.94
Data Science,293,3,Startup,Mid-Level,16622.42
Web Development,290,3,Enterprise,Junior,9026.45
Data Science,227,1,Startup,Junior,5836.52
SEO,46,5,Mid-Market,Junior,3207.51
Mobile App,91,4,Startup,Junior,3721.39
Mobile App,79,2,Mid-Market,Junior,2586.82
Web Development,449,4,Mid-Market,Mid-Level,21536.46
UI/UX Design,492,4,Mid-Market,Mid-Level,24591.71
Web Development,164,5,Mid-Market,Junior,5463.91
UI/UX Design,112,4,Mid-Market,Mid-Level,6052.4
Mobile App,328,4,Startup,Senior,27344.6
Web Development,27,3,Mid-Market,Junior,2046.0
SEO,98,5,Startup,Senior,7707.0
Data Science,46,1,Mid-Market,Mid-Level,3569.68
UI/UX Design,193,2,Enterprise,Mid-Level,11234.47
Data Science,69,4,Mid-Market,Senior,9989.47
Data Science,218,2,Enterprise,Mid-Level,17688.97
Web Development,406,1,Mid-Market,Junior,8562.03
Data Science,368,2,Mid-Market,Senior,48359.82
SEO,467,1,Mid-Market,Junior,8356.85
Data Science,447,3,Enterprise,Senior,59069.05
Web Development,200,4,Enterprise,Mid-Level,13994.75
SEO,43,1,Mid-Market,Senior,3006.31
Mobile App,335,2,Startup,Senior,30309.76
Data Science,397,4,Mid-Market,Junior,14298.59
Web Development,406,3,Enterprise,Mid-Level,27379.76
Mobile App,423,4,Mid-Market,Junior,12173.49
Mobile App,65,1,Enterprise,Mid-Level,5032.86
UI/UX Design,34,3,Enterprise,Junior,2414.61
SEO,172,2,Enterprise,Senior,16702.48
